source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_n_cells,target_n_cells,min_source_target_n_cells
Tc,T cells proliferating,LGALS1,PTPRC,0.71744907,0.0,0.29320124,0.45335838,0.19367957,0.00061938097,0.9115389,1.0,0.2127053671345385,6712,40,40
Neutrophils,Macrophages LYVE1,S100A8,ITGB2,0.9905597,0.0,0.25505334,5.980005,1.4706514,0.0070314603,0.9057556,0.0103765755798562,0.2127053671345385,5,48,5
Macrophages IFN-activated,Tc effector,TNF,TNFRSF1A,0.09796269,0.091,0.009394596,0.049271464,0.026364729,0.00049310044,0.6484445,1.0,0.2127147292899835,818,13119,818
Enterocytes,Stem cells,CALM1,PTPRA,0.7173901,0.0,0.33866343,0.29819438,0.19666207,0.0018645314,0.91718084,0.4854470571763091,0.2127265056887863,17919,2790,2790
Stem cells,Macrophages proliferating,MDK,SORL1,0.7173844,0.0,0.26000193,0.97512525,0.91533506,0.007367981,0.9065726,0.039502323917205,0.2127476451439054,2790,127,127
Macrophages proliferating,B cell cycling,TNFSF13B,HLA-DPB1,0.71737915,0.0,0.5082942,1.15707,0.477059,0.0024958926,0.9313537,0.1559433867194571,0.2127687854998727,127,224,127
Tfh,Treg,TNFSF13B,TFRC,0.097221345,0.992,0.0093954075,-0.057394285,-0.07981316,0.00021428785,0.6484543,1.0,0.2127885535795974,1216,449,449
B cell memory,Th memory,HLA-DPB1,CD4,0.90169746,0.0,0.25499094,0.9131492,0.6456152,0.0017135612,0.90574515,0.3827287028118984,0.21281106891426,5004,8461,5004
Th17,TA cells,CALM1,KCNQ1,0.80047995,0.0,0.25497484,0.4706701,0.20062584,0.004304811,0.90574247,0.1665052202738165,0.2128322119726339,3171,5824,3171
Monocytes,Macrophages FOLR2,LGALS1,ITGB1,0.7173474,0.0,0.423801,0.6427431,0.6311185,0.002723391,0.92530936,0.1206189528375953,0.2128322119726339,767,6473,767
cDC2,Macrophages FOLR2,S100A8,CD68,0.7172711,0.0,0.31256053,2.0608053,1.6774724,0.009795954,0.9140831,0.0114028920512882,0.212853355931764,203,6473,203
Colonocytes DUOX2,Macrophages immature,ADAM17,IL6R,0.0969478,0.0,0.009395681,0.26043335,0.10791822,0.0015753171,0.6484576,0.6207102196655895,0.2128623765656552,4757,551,551
Monocytes,B cell memory,S100A9,ITGB2,0.95207137,0.0,0.25494477,3.3173814,2.0479882,0.0046605105,0.9057374,0.0014059082758087,0.2128745007916273,767,5004,767
